type,entry_price,exit_price,quantity,lots,pnl,margin_used,entry_time,exit_time,entry_datetime,exit_datetime
long,21607.7,21704.7,75,1,7275.0,178263.525,1704964440000.0,1704964500000.0,2024-01-11 14:44:00,2024-01-11 14:45:00
short,22071.2,21771.95,75,1,22443.75,182087.4,1705482840000.0,1705482900000.0,2024-01-17 14:44:00,2024-01-17 14:45:00
long,21440.05,21714.0,75,1,20546.250000000055,176880.4125,1706001240000.0,1706001300000.0,2024-01-23 14:44:00,2024-01-23 14:45:00
long,21240.05,21546.15,75,1,22957.500000000164,175230.4125,1706519640000.0,1706519700000.0,2024-01-29 14:44:00,2024-01-29 14:45:00
short,21761.65,21521.35,75,1,18022.50000000022,179533.6125,1706692440000.0,1706692500000.0,2024-01-31 14:44:00,2024-01-31 14:45:00
short,21940.85,21769.75,75,1,12832.49999999989,181012.0125,1707470040000.0,1707470100000.0,2024-02-09 14:44:00,2024-02-09 14:45:00
long,21680.15,21876.35,75,1,14714.999999999782,178861.2375,1707988440000.0,1707988500000.0,2024-02-15 14:44:00,2024-02-15 14:45:00
short,22005.55,21946.15,75,1,4454.999999999836,181545.7875,1708595040000.0,1708595100000.0,2024-02-22 15:14:00,2024-02-22 15:15:00
short,22232.45,21952.6,75,1,20988.750000000164,183417.7125,1709198040000.0,1709198100000.0,2024-02-29 14:44:00,2024-02-29 14:45:00
long,21946.3,22119.55,75,1,12993.75,181056.975,1709284440000.0,1709284500000.0,2024-03-01 14:44:00,2024-03-01 14:45:00
short,22381.05,22331.05,75,1,3750.0,184643.6625,1710234840000.0,1710234900000.0,2024-03-12 14:44:00,2024-03-12 14:45:00
long,21992.95,22064.95,75,1,5400.0,181441.8375,1711444440000.0,1711444500000.0,2024-03-26 14:44:00,2024-03-26 14:45:00
short,22139.6,22294.05,75,1,-11583.750000000055,182651.7,1711619940000.0,1711620000000.0,2024-03-28 15:29:00,2024-03-28 15:30:00
