type,entry_price,exit_price,quantity,pnl,entry_time,exit_time,entry_datetime,exit_datetime
short,17714.1,18068.381999999998,28.22610237042808,-9999.99999999998,1641978840000.0,1641978900000.0,2022-01-12 14:44:00,2022-01-12 14:45:00
short,18223.9,17677.183,26.88776826036139,14700.000000000013,1642756440000.0,1642756500000.0,2022-01-21 14:44:00,2022-01-21 14:45:00
long,17312.2,16965.956000000002,29.15285174616744,-10093.999999999964,1644830040000.0,1644830100000.0,2022-02-14 14:44:00,2022-02-14 14:45:00
long,17328.7,16982.126,28.542591192645727,-9892.120000000015,1645521240000.0,1645521300000.0,2022-02-22 14:44:00,2022-02-22 14:45:00
long,17187.05,16843.308999999997,28.202273223153483,-9694.277600000052,1645694040000.0,1645694100000.0,2022-02-24 14:44:00,2022-02-24 14:45:00
long,16645.1,16312.197999999999,28.538104451159807,-9500.392048000003,1646385240000.0,1646385300000.0,2022-03-04 14:44:00,2022-03-04 14:45:00
long,15826.85,16301.6555,29.41325724019625,13965.57631056001,1646903640000.0,1646903700000.0,2022-03-10 14:44:00,2022-03-10 14:45:00
short,16671.55,17004.981,28.760660326278003,-9589.695733251216,1647508440000.0,1647508500000.0,2022-03-17 14:44:00,2022-03-17 14:45:00
short,17066.2,17407.524,27.533668357883347,-9397.90181858619,1648026840000.0,1648026900000.0,2022-03-23 14:44:00,2022-03-23 14:45:00
long,17379.05,17456.65,26.49725900499294,2056.18729878751,1648634340000.0,1648634400000.0,2022-03-30 15:29:00,2022-03-30 15:30:00
